Title,Physical Date,PHY Date Week Num,PHY to TH,Physical W1 Units,Studio,Rating,Box Office,Franchise,Count of Awards, Action, Adventure,Animation, Biography, Comedy, Crime,Documentary, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Short, Sport, Thriller, War, Western
NUT JOB 2: NUTTY BY NATURE,11/14/2017,46,95,41757,Universal Studios,PG,27845427,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
OCEAN'S 8,9/11/2018,37,95,130523,Warner Bros.,PG-13,140218711,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OFFICE CHRISTMAS PARTY,4/4/2017,14,116,81877,Paramount Pictures,R,54767494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONLY THE BRAVE,2/6/2018,6,109,81830,Sony Pictures,PG-13,18340051,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPERATION FINALE,12/4/2018,49,97,20764,MGM,PG-13,17612099,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
OTHER SIDE OF THE DOOR,6/7/2016,24,95,4312,20th Century Fox,R,3000342,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTHER WOMAN,7/29/2014,31,95,254957,20th Century Fox,PG-13,83911193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OUIJA,2/3/2015,6,102,110079,Universal Studios,PG-13,51066860,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
OUIJA 2,1/17/2017,3,88,35858,Universal Studios,PG-13,35144505,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
OUR BRAND IS CRISIS,2/2/2016,6,95,24995,Warner Bros.,R,7002261,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OUR KIND OF TRAITOR,10/18/2016,43,158,6362,Lionsgate,R,3153157,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OVERBOARD,7/31/2018,31,88,76738,Lionsgate,PG-13,50316123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PACIFIC RIM: UPRISING,6/19/2018,25,88,219823,Universal Studios,PG-13,56062031,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PADDINGTON,4/28/2015,18,102,244680,OTHER,PG,76223578,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PADDINGTON 2,4/24/2018,17,102,63226,Warner Bros.,PG,40442052,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PAN,12/22/2015,52,74,156370,Warner Bros.,PG,32243420,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PAPER TOWNS,10/20/2015,43,88,50315,20th Century Fox,PG-13,32000304,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PARANORMAL ACTIVITY - GHOST DIMENSION,1/12/2016,3,81,24165,Paramount Pictures,R,15544603,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PARANORMAL ACTIVITY-THE MARKED ONES,4/8/2014,15,95,50002,Paramount Pictures,R,32462372,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
PARIS CAN WAIT,9/5/2017,36,116,4100,Sony Pictures,PG,5617731,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PASSENGERS,3/14/2017,11,83,418017,Sony Pictures,PG-13,94015789,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
PATERSON,4/4/2017,14,138,3621,Universal Studios,R,2152738,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PATRIOTS DAY,3/28/2017,13,74,181028,Lionsgate,R,31886361,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
PAUL BLART-MALL COP 2,7/14/2015,29,88,149424,Sony Pictures,PG,71091594,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAUL, APOSTLE OF CHRIST",6/19/2018,25,88,65771,Sony Pictures,PG-13,17560475,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PAWN SACRIFICE,12/22/2015,52,88,9799,Universal Studios,PG-13,2436635,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
PEANUTS MOVIE,3/8/2016,11,123,470108,20th Century Fox,G,122262432,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PENGUINS OF MADAGASCAR,3/17/2015,12,111,364545,DreamWorks,PG,78447667,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
PEPPERMINT,12/11/2018,50,95,96814,Universal Studios,R,35418723,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PERFECT GUY,12/29/2015,53,109,122561,Sony Pictures,PG-13,57027435,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PETER RABBIT,5/1/2018,18,81,250437,Sony Pictures,PG,115253425,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PETES DRAGON,11/29/2016,49,109,306398,Walt Disney Studios,PG,72749684,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PHANTOM THREAD,4/10/2018,15,106,23644,Universal Studios,R,21051680,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PHOENIX FORGOTTEN,8/1/2017,31,102,7563,20th Century Fox,PG-13,3600146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
PIRATES OF THE CARIBBEAN: DEAD MEN TELL NO TALES,10/3/2017,40,130,586087,Walt Disney Studios,PG-13,162650815,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PITCH PERFECT 3,3/20/2018,12,88,291426,Universal Studios,PG-13,104897530,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PIXELS,10/27/2015,44,95,233769,Sony Pictures,PG-13,71675289,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PLANES FIRE AND RESCUE,11/4/2014,45,109,333014,Walt Disney Studios,PG,56595935,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POINT BREAK,3/29/2016,14,95,81305,Warner Bros.,R,25615407,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
POLTERGEIST,9/29/2015,40,130,91768,20th Century Fox,PG-13,42178105,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
POMPEII,5/20/2014,21,88,104948,Sony Pictures,PG-13,19571875,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
POPSTAR-NEVER STOP STOPPING,9/13/2016,38,102,15277,Universal Studios,R,9639125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
POST,4/17/2018,16,95,85844,20th Century Fox,PG-13,81903458,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
POWER RANGERS,6/27/2017,26,95,270481,Lionsgate,PG-13,85364450,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRIDE AND PREJUDICE AND ZOMBIE,5/31/2016,23,116,71246,Sony Pictures,PG-13,10938134,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
PROJECT ALMANAC,6/9/2015,24,130,48161,Paramount Pictures,PG-13,22348241,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
PROMISE,7/18/2017,29,88,10312,Universal Studios,PG-13,8224288,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PROUD MARY,4/10/2018,15,88,43798,Sony Pictures,R,20868638,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PURGE-ANARCHY,10/21/2014,43,95,102554,Universal Studios,R,71562550,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
PURGE-ELECTION YEAR,10/4/2016,41,95,85858,Universal Studios,R,79213375,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
PYRAMID,5/5/2015,19,151,9786,20th Century Fox,R,2753517,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
QUEEN OF KATWE,1/31/2017,5,123,12111,Walt Disney Studios,PG,8874389,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
QUESTION OF FAITH,1/2/2018,1,95,8360,Universal Studios,PG,2587072,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUIET ONES,8/19/2014,34,116,25279,Lionsgate,PG-13,8509867,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
QUIET PLACE,7/10/2018,28,95,203594,Paramount Pictures,PG-13,188024361,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
RACE,5/31/2016,23,102,32201,Universal Studios,PG-13,19206207,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RAID 2,7/8/2014,28,88,29170,Sony Pictures,R,2627209,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RAILWAY MAN,8/12/2014,33,81,11545,OTHER,R,4438438,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
RAMPAGE,7/17/2018,29,95,328392,Warner Bros.,PG-13,95668466,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RATCHET AND CLANK,8/23/2016,35,116,25896,Universal Studios,PG,8367853,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
READY PLAYER ONE,7/24/2018,30,117,365666,Warner Bros.,PG-13,124214707,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RED SPARROW,5/22/2018,21,81,119247,20th Century Fox,R,46874505,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RESIDENT EVIL-FINAL CHAPTER,5/16/2017,20,109,218733,Sony Pictures,R,23807213,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
RESURRECTION OF GAVIN STONE,5/2/2017,18,102,8888,Universal Studios,PG,2303792,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
REVENANT,4/19/2016,17,116,571015,20th Century Fox,R,183637894,0,9,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RICKI AND THE FLASH,11/24/2015,48,109,39989,Sony Pictures,PG-13,26839498,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RIDE ALONG,4/15/2014,16,88,477029,Universal Studios,PG-13,134202565,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIDE ALONG 2,4/26/2016,18,102,192625,Universal Studios,PG-13,91221830,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIDER,8/7/2018,32,116,4195,Sony Pictures,R,2406753,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RINGS,5/2/2017,18,88,40395,Paramount Pictures,PG-13,27793018,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
RIO 2,7/15/2014,29,95,803507,20th Century Fox,G,120900000,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
RISEN,5/24/2016,22,95,129492,Sony Pictures,PG-13,36880033,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ROBOCOP-2014,6/3/2014,23,111,272965,MGM,PG-13,58607007,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ROCK DOG,5/23/2017,21,88,39452,Lionsgate,PG,9420546,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ROCK THE KASBAH,2/2/2016,6,102,8127,Universal Studios,R,3020664,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ROGUE ONE-A STAR WARS STORY,4/4/2017,14,109,1985890,Walt Disney Studios,PG-13,471259747,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ROMAN J. ISRAEL, ESQ.",2/13/2018,7,83,21323,Sony Pictures,PG-13,11961105,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
